2	350
0	0	0
0	1	0.0935149
0	2	0.0228722
0	3	0.139985
0	4	0.0348556
0	5	0.141972
0	6	0.0246827
0	7	0.587115
0	8	0.861543
0	9	0.98717
0	10	1.04315
0	11	1.06649
0	12	1.07282
0	13	1.06641
0	14	1.04295
0	15	0.9867
0	16	0.860515
0	17	0.584883
0	18	0.0220555
0	19	0.0407512
0	20	0.178449
0	21	0.0607422
0	22	0.0815841
0	23	0.125012
0	24	0.115679
0	25	0.0881564
0	26	0.0676591
0	27	0.0538636
0	28	0.0440924
0	29	0.0369487
0	30	0.0317524
0	31	0.0281201
0	32	0.0258199
0	33	0.0247264
0	34	0.0248109
0	35	0.0261549
0	36	0.0289843
0	37	0.0337259
0	38	0.041096
0	39	0.0522279
0	40	0.0688364
0	41	0.0933698
0	42	0.128981
0	43	0.178908
0	44	0.244595
0	45	0.322128
0	46	0.39844
0	47	0.451895
0	48	0.461308
0	49	0.419196
0	50	0.338022
0	51	0.243216
0	52	0.158618
0	53	0.0961856
0	54	0.0560168
0	55	0.0324092
0	56	0.0191828
0	57	0.0118556
0	58	0.00773035
0	59	0.00533106
0	60	0.0038811
0	61	0.00297273
0	62	0.00238749
0	63	0.00200472
0	64	0.00175579
0	65	0.00160091
0	66	0.00151729
0	67	0.00149284
0	68	0.00152309
0	69	0.00160989
0	70	0.00176144
0	71	0.00199351
0	72	0.00233213
0	73	0.0028183
0	74	0.00351601
0	75	0.00452543
0	76	0.00600505
0	77	0.00820878
0	78	0.0115488
0	79	0.0167019
0	80	0.0247884
0	81	0.0376669
0	82	0.058395
0	83	0.0918667
0	84	0.145444
0	85	0.228815
0	86	0.351156
0	87	0.513004
0	88	0.694074
0	89	0.849167
0	90	0.926108
0	91	0.895623
0	92	0.767015
0	93	0.581771
0	94	0.39261
0	95	0.238885
0	96	0.133984
0	97	0.0711652
0	98	0.03676
0	99	0.0188855
0	100	0.00981322
0	101	0.00521573
0	102	0.002855
0	103	0.00161556
0	104	0.000946852
0	105	0.000575242
0	106	0.000362373
0	107	0.000236706
0	108	0.000160313
0	109	0.000112554
0	110	8.19021e-05
0	111	6.17556e-05
0	112	4.82393e-05
0	113	3.90266e-05
0	114	3.2692e-05
0	115	2.83485e-05
0	116	2.54394e-05
0	117	2.36185e-05
0	118	2.26801e-05
0	119	2.25195e-05
0	120	2.31137e-05
0	121	2.45161e-05
0	122	2.68643e-05
0	123	3.04028e-05
0	124	3.55252e-05
0	125	4.28465e-05
0	126	5.33236e-05
