2	350
0	0	0
0	1	0.0871974
0	2	0.0198341
0	3	0.124753
0	4	0.0255486
0	5	0.147323
0	6	0.0305069
0	7	0.590626
0	8	0.866732
0	9	0.992964
0	10	1.04729
0	11	1.06852
0	12	1.07354
0	13	1.06659
0	14	1.04295
0	15	0.986582
0	16	0.861499
0	17	0.53789
0	18	1.52206
0	19	-0.0160238
0	20	0.154448
0	21	0.0313316
0	22	0.0512749
0	23	0.177368
0	24	0.0454757
0	25	0.0608629
0	26	0.0859504
0	27	0.078875
0	28	0.0680949
0	29	0.0676146
0	30	0.0741
0	31	0.0837807
0	32	0.0954665
0	33	0.109419
0	34	0.125958
0	35	0.144773
0	36	0.164688
0	37	0.183627
0	38	0.198786
0	39	0.207179
0	40	0.206537
0	41	0.196224
0	42	0.177646
0	43	0.153841
0	44	0.128427
0	45	0.104495
0	46	0.0839644
0	47	0.0675507
0	48	0.0551145
0	49	0.0460938
0	50	0.03983
0	51	0.0357463
0	52	0.0334155
0	53	0.0325705
0	54	0.0330943
0	55	0.0350124
0	56	0.0384951
0	57	0.0438746
0	58	0.0516757
0	59	0.0626561
0	60	0.0778403
0	61	0.0985118
0	62	0.126091
0	63	0.16178
0	64	0.205844
0	65	0.256511
0	66	0.308852
0	67	0.354559
0	68	0.38365
0	69	0.388107
0	70	0.36564
0	71	0.321067
0	72	0.264226
0	73	0.205819
0	74	0.153773
0	75	0.111859
0	76	0.0804083
0	77	0.0578688
0	78	0.0421342
0	79	0.0312747
0	80	0.0237897
0	81	0.0186075
0	82	0.0149967
0	83	0.0124693
0	84	0.0107033
0	85	0.00948784
0	86	0.00868612
0	87	0.00821235
0	88	0.00801708
0	89	0.00807905
0	90	0.0084015
0	91	0.00901224
0	92	0.00996742
0	93	0.0113596
0	94	0.0133318
0	95	0.0160992
0	96	0.0199837
0	97	0.0254651
0	98	0.0332576
0	99	0.0444165
0	100	0.0604768
0	101	0.0836001
0	102	0.116648
0	103	0.16298
0	104	0.225589
0	105	0.305124
0	106	0.396789
0	107	0.487683
0	108	0.557852
0	109	0.587181
0	110	0.56516
0	111	0.496728
0	112	0.400022
0	113	0.297685
0	114	0.207515
0	115	0.137892
0	116	0.0890045
0	117	0.0567979
0	118	0.0363649
0	119	0.0236193
0	120	0.0156827
0	121	0.0106983
0	122	0.00752118
0	123	0.00545923
0	124	0.00409548
0	125	0.00317721
0	126	0.00254959
0	127	0.00211644
0	128	0.00181735
0	129	0.00161403
0	130	0.00148235
0	131	0.00140755
0	132	0.00138149
0	133	0.00140116
0	134	0.00146812
0	135	0.00158869
0	136	0.00177494
0	137	0.00204669
0	138	0.00243492
0	139	0.00298755
0	140	0.00377881
0	141	0.00492484
0	142	0.00660959
0	143	0.00912837
0	144	0.0129613
0	145	0.0188976
0	146	0.0282424
0	147	0.0431536
0	148	0.0671519
0	149	0.105781
0	150	0.16712
0	151	0.261107
0	152	0.395454
0	153	0.565996
0	154	0.745297
0	155	0.88395
0	156	0.933754
0	157	0.875414
0	158	0.727798
0	159	0.537053
0	160	0.354025
0	161	0.211723
0	162	0.117594
0	163	0.0623039
0	164	0.0322938
0	165	0.0167166
0	166	0.0087721
0	167	0.00471266
0	168	0.00260735
0	169	0.00149047
0	170	0.000881783
0	171	0.000540327
0	172	0.000343041
0	173	0.000225666
0	174	0.000153815
0	175	0.000108617
0	176	7.94495e-05
0	177	6.01874e-05
0	178	4.72122e-05
0	179	3.83391e-05
0	180	3.22234e-05
0	181	2.80245e-05
0	182	2.52136e-05
0	183	2.34613e-05
0	184	2.25723e-05
0	185	2.24485e-05
0	186	2.30714e-05
0	187	2.44969e-05
0	188	2.68647e-05
0	189	3.042e-05
0	190	3.55568e-05
0	191	4.28891e-05
0	192	5.33711e-05
0	193	6.84975e-05
0	194	9.06411e-05
0	195	0.000123632
0	196	0.000173764
0	197	0.000251585
0	198	0.00037512
0	199	0.000575808
0	200	0.000909621
0	201	0.00147829
0	202	0.00247052
0	203	0.00424344
0	204	0.00748572
0	205	0.0135476
0	206	0.0251093
0	207	0.0475102
0	208	0.0912475
0	209	0.175982
0	210	0.334163
0	211	0.604226
0	212	0.993324
0	213	1.42476
0	214	1.76917
0	215	1.95498
0	216	1.9922
0	217	1.91275
0	218	1.73274
0	219	1.45764
0	220	1.10832
0	221	0.740781
0	222	0.428695
0	223	0.215961
0	224	0.0967479
0	225	0.0395747
0	226	0.0151325
0	227	0.00550661
0	228	0.00193119
0	229	0.000658409
0	230	0.00021952
0	231	7.1871e-05
0	232	2.31747e-05
0	233	7.37542e-06
0	234	2.32045e-06
0	235	7.22617e-07
0	236	2.22953e-07
0	237	6.82065e-08
0	238	2.07022e-08
0	239	6.2375e-09
0	240	1.86635e-09
0	241	5.54785e-10
0	242	1.63884e-10
0	243	4.81221e-11
0	244	1.40491e-11
0	245	4.07884e-12
0	246	1.17783e-12
0	247	3.38343e-13
0	248	9.6698e-14
0	249	2.74991e-14
0	250	7.78233e-15
0	251	2.19196e-15
0	252	6.1451e-16
0	253	1.71488e-16
0	254	4.76409e-17
0	255	1.31765e-17
0	256	3.62842e-18
0	257	9.9486e-19
0	258	2.71617e-19
0	259	7.38454e-20
0	260	1.99933e-20
0	261	5.39085e-21
0	262	1.44764e-21
0	263	3.87182e-22
0	264	1.03142e-22
0	265	2.73673e-23
0	266	7.23312e-24
0	267	1.90427e-24
0	268	4.99406e-25
0	269	1.30471e-25
0	270	3.39563e-26
0	271	8.80411e-27
0	272	2.27416e-27
0	273	5.85242e-28
0	274	1.50052e-28
0	275	3.83307e-29
0	276	9.75578e-30
0	277	2.47398e-30
0	278	6.25115e-31
0	279	1.57383e-31
0	280	3.94824e-32
0	281	9.86962e-33
0	282	2.45843e-33
0	283	6.10218e-34
0	284	1.50934e-34
0	285	3.72026e-35
0	286	9.13798e-36
0	287	2.23678e-36
0	288	5.45634e-37
0	289	1.32645e-37
0	290	3.21363e-38
0	291	7.75934e-39
0	292	1.86717e-39
0	293	4.47794e-40
0	294	1.07032e-40
0	295	2.54976e-41
0	296	6.05391e-42
0	297	1.43262e-42
0	298	3.37904e-43
0	299	7.94373e-44
0	300	1.86136e-44
0	301	4.34729e-45
0	302	1.01203e-45
0	303	2.34832e-46
0	304	5.43147e-47
0	305	1.25222e-47
0	306	2.87771e-48
0	307	6.59214e-49
0	308	1.50529e-49
0	309	3.42639e-50
0	310	7.77459e-51
0	311	1.75852e-51
0	312	3.96509e-52
0	313	8.91245e-53
0	314	1.99703e-53
0	315	4.46087e-54
0	316	9.93361e-55
0	317	2.20522e-55
0	318	4.88041e-56
0	319	1.07678e-56
0	320	2.36846e-57
0	321	5.19372e-58
0	322	1.13545e-58
0	323	2.4748e-59
0	324	5.37772e-60
0	325	1.16505e-60
0	326	2.51644e-61
0	327	5.41907e-62
0	328	1.1635e-62
0	329	2.49063e-63
0	330	5.31575e-64
0	331	1.13118e-64
0	332	2.40002e-65
0	333	5.07715e-66
0	334	1.0709e-66
0	335	2.25219e-67
0	336	4.72272e-68
0	337	9.87451e-69
0	338	2.05862e-69
0	339	4.27938e-70
0	340	8.87013e-71
0	341	1.83328e-71
0	342	3.77816e-72
0	343	7.76405e-73
0	344	1.59095e-73
0	345	3.25076e-74
0	346	6.62298e-75
0	347	1.34347e-75
0	348	2.61543e-76
0	349	0
1	0	0
1	1	-0.294487
1	2	11.6684
1	3	-0.364542
1	4	11.6645
1	5	-0.390845
1	6	25.7532
1	7	-0.60226
1	8	-0.612438
1	9	-0.60873
1	10	-0.605684
1	11	-0.604526
1	12	-0.6044
1	13	-0.604787
1	14	-0.605727
1	15	-0.607498
1	16	-0.607299
1	17	-0.644378
1	18	30.6044
1	19	5.16305
1	20	-0.404088
1	21	7.42572
1	22	4.94668
1	23	-0.440223
1	24	6.16809
1	25	2.94434
1	26	2.37233
1	27	2.78942
1	28	3.06067
1	29	3.05024
1	30	3.01605
1	31	3.0179
1	32	3.03101
1	33	3.03106
1	34	3.00838
1	35	2.96121
1	36	2.89064
1	37	2.79979
1	38	2.69454
1	39	2.58347
1	40	2.47673
1	41	2.38406
1	42	2.31305
1	43	2.26813
1	44	2.25065
1	45	2.25938
1	46	2.29146
1	47	2.34316
1	48	2.41057
1	49	2.49005
1	50	2.57843
1	51	2.67301
1	52	2.7715
1	53	2.87189
1	54	2.97228
1	55	3.07074
1	56	3.16511
1	57	3.25285
1	58	3.33079
1	59	3.39486
1	60	3.43986
1	61	3.45935
1	62	3.44571
1	63	3.39101
1	64	3.2888
1	65	3.13698
1	66	2.94103
1	67	2.71554
1	68	2.48205
1	69	2.26339
1	70	2.07751
1	71	1.93423
1	72	1.83577
1	73	1.7791
1	74	1.75851
1	75	1.76735
1	76	1.7992
1	77	1.84844
1	78	1.91057
1	79	1.98221
1	80	2.06088
1	81	2.14485
1	82	2.23287
1	83	2.32407
1	84	2.41779
1	85	2.51356
1	86	2.61097
1	87	2.70972
1	88	2.80949
1	89	2.91001
1	90	3.01097
1	91	3.11203
1	92	3.21276
1	93	3.31264
1	94	3.41096
1	95	3.50674
1	96	3.59862
1	97	3.68468
1	98	3.76211
1	99	3.82689
1	100	3.87323
1	101	3.89303
1	102	3.8754
1	103	3.80695
1	104	3.67366
1	105	3.46557
1	106	3.18409
1	107	2.84835
1	108	2.49399
1	109	2.16167
1	110	1.88235
1	111	1.66998
1	112	1.52403
1	113	1.43629
1	114	1.39628
1	115	1.39368
1	116	1.41929
1	117	1.46541
1	118	1.52603
1	119	1.59681
1	120	1.67478
1	121	1.75799
1	122	1.84515
1	123	1.93544
1	124	2.02828
1	125	2.1233
1	126	2.22021
1	127	2.3188
1	128	2.41892
1	129	2.52042
1	130	2.62319
1	131	2.72714
1	132	2.83216
1	133	2.93816
1	134	3.04505
1	135	3.15273
1	136	3.26109
1	137	3.36998
1	138	3.47922
1	139	3.5886
1	140	3.69778
1	141	3.80629
1	142	3.91344
1	143	4.01813
1	144	4.11869
1	145	4.2124
1	146	4.29489
1	147	4.35904
1	148	4.39347
1	149	4.38044
1	150	4.29424
1	151	4.10275
1	152	3.77758
1	153	3.31635
1	154	2.76541
1	155	2.21236
1	156	1.74027
1	157	1.38787
1	158	1.15035
1	159	1.00349
1	160	0.923174
1	161	0.891968
1	162	0.897306
1	163	0.928886
1	164	0.978219
1	165	1.03908
1	166	1.10743
1	167	1.18091
1	168	1.25818
1	169	1.33848
1	170	1.42137
1	171	1.50658
1	172	1.59391
1	173	1.68321
1	174	1.77437
1	175	1.86728
1	176	1.96185
1	177	2.058
1	178	2.15565
1	179	2.25472
1	180	2.35516
1	181	2.45688
1	182	2.55984
1	183	2.66397
1	184	2.76922
1	185	2.87554
1	186	2.98288
1	187	3.09119
1	188	3.20044
1	189	3.31057
1	190	3.42154
1	191	3.53333
1	192	3.64588
1	193	3.75916
1	194	3.87314
1	195	3.98777
1	196	4.10299
1	197	4.21876
1	198	4.33497
1	199	4.45152
1	200	4.56818
1	201	4.68464
1	202	4.80027
1	203	4.91398
1	204	5.02367
1	205	5.12533
1	206	5.21111
1	207	5.2656
1	208	5.25912
1	209	5.1377
1	210	4.81681
1	211	4.20666
1	212	3.30742
1	213	2.30375
1	214	1.45407
1	215	0.873631
1	216	0.524934
1	217	0.329899
1	218	0.226668
1	219	0.173718
1	220	0.14202
1	221	0.112488
1	222	0.0792207
1	223	0.047717
1	224	0.0246731
1	225	0.0112373
1	226	0.00464614
1	227	0.00178946
1	228	0.000654481
1	229	0.000230379
1	230	7.87633e-05
1	231	2.63177e-05
1	232	8.63147e-06
1	233	2.78718e-06
1	234	8.88089e-07
1	235	2.79692e-07
1	236	8.71745e-08
1	237	2.69164e-08
1	238	8.23963e-09
1	239	2.50231e-09
1	240	7.54301e-10
1	241	2.25793e-10
1	242	6.71428e-11
1	243	1.98403e-11
1	244	5.82736e-12
1	245	1.70166e-12
1	246	4.94131e-13
1	247	1.4271e-13
1	248	4.09996e-14
1	249	1.17187e-14
1	250	3.33276e-15
1	251	9.43208e-16
1	252	2.65664e-16
1	253	7.44765e-17
