2	350
0	0	0
0	1	1.19807
0	2	1.45784
0	3	1.50256
0	4	1.13254
0	5	0.673643
0	6	0.425403
0	7	0.930663
0	8	1.17558
0	9	1.34916
0	10	1.48611
0	11	1.53011
0	12	1.49209
0	13	1.42438
0	14	1.37298
0	15	1.36575
0	16	1.4248
0	17	1.58013
0	18	1.89153
0	19	1.81252
0	20	1.5778
0	21	1.22065
0	22	0.805255
0	23	0.438141
0	24	0.195669
0	25	0.0732591
0	26	0.023691
0	27	0.00679193
0	28	0.00175949
0	29	0.000417419
0	30	9.15522e-05
0	31	1.86955e-05
0	32	3.57398e-06
0	33	6.42458e-07
0	34	1.09e-07
0	35	1.75098e-08
0	36	2.67062e-09
0	37	3.87696e-10
0	38	5.36869e-11
0	39	7.10561e-12
0	40	9.00468e-13
0	41	1.0944e-13
0	42	1.27753e-14
0	43	1.43433e-15
0	44	1.5508e-16
0	45	1.61656e-17
0	46	1.62639e-18
0	47	1.58083e-19
0	48	1.48585e-20
0	49	1.35164e-21
0	50	1.19095e-22
0	51	1.01716e-23
0	52	8.42664e-25
0	53	6.77583e-26
0	54	5.29145e-27
0	55	4.01546e-28
0	56	2.96258e-29
0	57	2.12613e-30
0	58	1.48488e-31
0	59	1.00963e-32
0	60	6.68599e-34
0	61	4.31387e-35
0	62	2.71277e-36
0	63	1.66318e-37
0	64	9.9443e-39
0	65	5.80009e-40
0	66	3.30088e-41
0	67	1.8334e-42
0	68	9.94049e-44
0	69	5.26217e-45
0	70	2.72021e-46
0	71	1.37337e-47
0	72	6.773e-49
0	73	3.26311e-50
0	74	1.53598e-51
0	75	7.06452e-53
0	76	3.17505e-54
0	77	1.39449e-55
0	78	5.9854e-57
0	79	2.5107e-58
0	80	1.02926e-59
0	81	4.1236e-61
0	82	1.61452e-62
0	83	6.17744e-64
0	84	2.30965e-65
0	85	8.43774e-67
0	86	3.0117e-68
0	87	1.05016e-69
0	88	3.57687e-71
0	89	1.18986e-72
0	90	3.86514e-74
0	91	1.22584e-75
0	92	3.79499e-77
0	93	1.14658e-78
0	94	3.37995e-80
0	95	9.71876e-82
0	96	2.7251e-83
0	97	7.44882e-85
0	98	1.98416e-86
0	99	5.14859e-88
0	100	1.30091e-89
0	101	3.19938e-91
0	102	7.65483e-93
0	103	1.78089e-94
0	104	4.02649e-96
0	105	8.84194e-98
0	106	1.88459e-99
0	107	3.89608e-101
0	108	7.80643e-103
0	109	1.51471e-104
0	110	2.84359e-106
0	111	5.15991e-108
0	112	9.04043e-110
0	113	1.52757e-111
0	114	2.4861e-113
0	115	3.89163e-115
0	116	5.85015e-117
0	117	8.43096e-119
0	118	1.16261e-120
0	119	1.53078e-122
0	120	1.9199e-124
0	121	2.28753e-126
0	122	2.5814e-128
0	123	2.7494e-130
0	124	2.75283e-132
0	125	2.57913e-134
0	126	2.24886e-136
0	127	1.81325e-138
0	128	1.34154e-140
0	129	9.02196e-143
0	130	5.45046e-145
0	131	2.91381e-147
0	132	1.35129e-149
0	133	5.28943e-152
0	134	1.67911e-154
0	135	4.05628e-157
0	136	6.6349e-160
0	137	5.51728e-163
0	138	0
0	139	0
0	140	0
0	141	0
0	142	0
0	143	0
0	144	0
0	145	0
0	146	0
0	147	0
0	148	0
0	149	0
0	150	0
0	151	0
0	152	0
0	153	0
0	154	0
0	155	0
0	156	0
0	157	0
0	158	0
0	159	0
0	160	0
0	161	0
0	162	0
0	163	0
0	164	0
0	165	0
0	166	0
0	167	0
0	168	0
0	169	0
0	170	0
0	171	0
0	172	0
0	173	0
0	174	0
0	175	0
0	176	0
0	177	0
0	178	0
0	179	0
0	180	0
0	181	0
0	182	0
0	183	0
0	184	0
0	185	0
0	186	0
0	187	0
0	188	0
0	189	0
0	190	0
0	191	0
0	192	0
0	193	0
0	194	0
0	195	0
0	196	0
0	197	0
0	198	0
0	199	0
0	200	0
0	201	0
0	202	0
0	203	0
0	204	0
0	205	0
0	206	0
0	207	0
0	208	0
0	209	0
0	210	0
0	211	0
0	212	0
0	213	0
0	214	0
0	215	0
0	216	0
0	217	0
