2	350
0	0	0
0	1	0.0898085
0	2	0.0209146
0	3	0.130318
0	4	0.0284669
0	5	0.134369
0	6	0.0243167
0	7	0.586917
0	8	0.861452
0	9	0.987131
0	10	1.04314
0	11	1.06649
0	12	1.07283
0	13	1.06643
0	14	1.04299
0	15	0.986786
0	16	0.860697
0	17	0.585317
0	18	0.0212352
0	19	0.0372089
0	20	0.158797
0	21	0.0395029
0	22	0.0628142
0	23	0.129915
0	24	0.0618306
0	25	0.0422783
0	26	0.044169
0	27	0.0494719
0	28	0.0538701
0	29	0.0592875
0	30	0.0679119
0	31	0.0808694
0	32	0.0987759
0	33	0.122079
0	34	0.150845
0	35	0.184097
0	36	0.218946
0	37	0.250069
0	38	0.270399
0	39	0.273487
0	40	0.256684
0	41	0.223014
0	42	0.18008
0	43	0.136606
0	44	0.0990102
0	45	0.0700327
0	46	0.0494476
0	47	0.035581
0	48	0.0265211
0	49	0.0206979
0	50	0.0170086
0	51	0.0147444
0	52	0.013478
0	53	0.0129705
0	54	0.0131119
0	55	0.01389
0	56	0.0153805
0	57	0.0177563
0	58	0.0213148
0	59	0.0265289
0	60	0.0341268
0	61	0.0452093
0	62	0.0614034
0	63	0.0850263
0	64	0.119158
0	65	0.167369
0	66	0.232646
0	67	0.314969
0	68	0.407776
0	69	0.495512
0	70	0.556202
0	71	0.570467
0	72	0.531878
0	73	0.45091
0	74	0.349572
0	75	0.250704
0	76	0.169159
0	77	0.109565
0	78	0.0695215
0	79	0.0439922
0	80	0.0281488
0	81	0.0183901
0	82	0.0123439
0	83	0.0085445
0	84	0.00611211
0	85	0.00452321
0	86	0.00346485
0	87	0.00274782
0	88	0.00225611
0	89	0.00191759
0	90	0.0016869
0	91	0.00153556
0	92	0.00144602
0	93	0.00140828
0	94	0.00141801
0	95	0.00147574
0	96	0.00158686
0	97	0.00176245
0	98	0.0020211
0	99	0.00239216
0	100	0.00292109
0	101	0.0036784
0	102	0.00477435
0	103	0.00638348
0	104	0.00878575
0	105	0.0124361
0	106	0.0180822
0	107	0.026961
0	108	0.0411206
0	109	0.0639133
0	110	0.100651
0	111	0.159167
0	112	0.24935
0	113	0.37951
0	114	0.547233
0	115	0.727565
0	116	0.872321
0	117	0.931639
0	118	0.882694
0	119	0.74119
0	120	0.551909
0	121	0.366554
0	122	0.22036
0	123	0.122707
0	124	0.065018
0	125	0.033637
0	126	0.0173563
0	127	0.00907277
0	128	0.00485454
0	129	0.00267536
0	130	0.00152381
0	131	0.000898564
0	132	0.000549008
0	133	0.000347659
0	134	0.00022819
0	135	0.000155232
0	136	0.000109433
0	137	7.99316e-05
0	138	6.04797e-05
0	139	4.73943e-05
0	140	3.84564e-05
0	141	3.23023e-05
0	142	2.80808e-05
0	143	2.52572e-05
0	144	2.34989e-05
0	145	2.26088e-05
0	146	2.24883e-05
0	147	2.31187e-05
0	148	2.45569e-05
0	149	2.69442e-05
0	150	3.0529e-05
0	151	3.57098e-05
0	152	4.31087e-05
0	153	5.3693e-05
0	154	6.89789e-05
0	155	9.13762e-05
0	156	0.000124778
0	157	0.000175589
0	158	0.000254556
0	159	0.000380065
0	160	0.000584226
0	161	0.000924283
0	162	0.00150441
0	163	0.00251813
0	164	0.00433218
0	165	0.00765475
0	166	0.0138762
0	167	0.025759
0	168	0.0488102
0	169	0.0938519
0	170	0.181098
0	171	0.343646
0	172	0.619723
0	173	1.01361
0	174	1.44414
0	175	1.78191
0	176	1.95967
0	177	1.99008
0	178	1.90481
0	179	1.71904
0	180	1.43843
0	181	1.08569
0	182	0.719064
0	183	0.412036
0	184	0.205613
0	185	0.0913384
0	186	0.0370857
0	187	0.0140853
0	188	0.00509256
0	189	0.00177442
0	190	0.000600885
0	191	0.000198906
0	192	6.46216e-05
0	193	2.06646e-05
0	194	6.5179e-06
0	195	2.03099e-06
0	196	6.25971e-07
0	197	1.91012e-07
0	198	5.77511e-08
0	199	1.7311e-08
0	200	5.14716e-09
0	201	1.51874e-09
0	202	4.44863e-10
0	203	1.29399e-10
0	204	3.73861e-11
0	205	1.07317e-11
0	206	3.06118e-12
0	207	8.67863e-13
0	208	2.44582e-13
0	209	6.85282e-14
0	210	1.90915e-14
0	211	5.28918e-15
0	212	1.45733e-15
0	213	3.99383e-16
0	214	1.08873e-16
0	215	2.95249e-17
0	216	7.96566e-18
0	217	2.13822e-18
0	218	5.71091e-19
0	219	1.51778e-19
0	220	4.01408e-20
