2	350
0	0	0
0	1	0.0862434
0	2	0.0191729
0	3	0.116301
0	4	0.0191228
0	5	0.122929
0	6	0.0241207
0	7	0.586852
0	8	0.861444
0	9	0.987197
0	10	1.04332
0	11	1.06681
0	12	1.07318
0	13	1.0665
0	14	1.04241
0	15	0.985611
0	16	0.859646
0	17	0.585718
0	18	0.025276
0	19	0.0558575
0	20	0.168896
0	21	0.0323049
0	22	0.046372
0	23	0.152012
0	24	0.0243056
0	25	0.0597933
0	26	0.183827
0	27	0.0462746
0	28	0.0839529
0	29	0.135075
0	30	0.139396
0	31	0.131977
0	32	0.134118
0	33	0.141002
0	34	0.146645
0	35	0.149278
0	36	0.14914
0	37	0.146573
0	38	0.141742
0	39	0.134906
0	40	0.126571
0	41	0.117417
0	42	0.108162
0	43	0.0994305
0	44	0.0916924
0	45	0.0852509
0	46	0.0802736
0	47	0.0768383
0	48	0.0749794
0	49	0.074726
0	50	0.0761294
0	51	0.0792783
0	52	0.0843047
0	53	0.0913751
0	54	0.100666
0	55	0.112311
0	56	0.126322
0	57	0.142468
0	58	0.16013
0	59	0.17818
0	60	0.194943
0	61	0.208344
0	62	0.216277
0	63	0.217151
0	64	0.210398
0	65	0.196717
0	66	0.1779
0	67	0.15632
0	68	0.134307
0	69	0.113673
0	70	0.0955196
0	71	0.0802955
0	72	0.0679799
0	73	0.0582907
0	74	0.0508461
0	75	0.0452656
0	76	0.0412208
0	77	0.0384536
0	78	0.0367785
0	79	0.0360778
0	80	0.0362959
0	81	0.0374366
0	82	0.039562
0	83	0.0427968
0	84	0.0473345
0	85	0.0534468
0	86	0.0614926
0	87	0.0719219
0	88	0.0852658
0	89	0.102097
0	90	0.122936
0	91	0.14808
0	92	0.177338
0	93	0.209685
0	94	0.24296
0	95	0.273783
0	96	0.297934
0	97	0.311287
0	98	0.311049
0	99	0.296778
0	100	0.270636
0	101	0.236697
0	102	0.199682
0	103	0.163703
0	104	0.13153
0	105	0.104479
0	106	0.0827293
0	107	0.0657817
0	108	0.0528488
0	109	0.043111
0	110	0.0358437
0	111	0.0304609
0	112	0.0265141
0	113	0.0236729
0	114	0.021702
0	115	0.0204409
0	116	0.0197881
0	117	0.0196909
0	118	0.0201396
0	119	0.0211667
0	120	0.0228497
0	121	0.0253204
0	122	0.0287779
0	123	0.0335104
0	124	0.0399227
0	125	0.0485726
0	126	0.0602103
0	127	0.0758101
0	128	0.0965676
0	129	0.123809
0	130	0.158725
0	131	0.201832
0	132	0.252114
0	133	0.30604
0	134	0.357035
0	135	0.396238
0	136	0.414948
0	137	0.407973
0	138	0.37603
0	139	0.325636
0	140	0.266504
0	141	0.20801
0	142	0.15662
0	143	0.115197
0	144	0.0837902
0	145	0.0609335
0	146	0.0447034
0	147	0.0333171
0	148	0.0253543
0	149	0.0197725
0	150	0.0158406
0	151	0.0130587
0	152	0.0110897
0	153	0.00970793
0	154	0.00876368
0	155	0.00815987
0	156	0.00783672
0	157	0.00776257
0	158	0.00792908
0	159	0.00834978
0	160	0.00906183
0	161	0.0101313
0	162	0.0116625
0	163	0.0138141
0	164	0.0168232
0	165	0.0210432
0	166	0.027
0	167	0.0354741
0	168	0.0476145
0	169	0.0650816
0	170	0.0901862
0	171	0.125925
0	172	0.175673
0	173	0.242125
0	174	0.325058
0	175	0.418158
0	176	0.506857
0	177	0.570522
0	178	0.590291
0	179	0.558491
0	180	0.482998
0	181	0.383462
0	182	0.282114
0	183	0.195098
0	184	0.129085
0	185	0.0832407
0	186	0.0532107
0	187	0.0341887
0	188	0.0223079
0	189	0.0148869
0	190	0.0102074
0	191	0.00721157
0	192	0.00525876
0	193	0.00396189
0	194	0.00308547
0	195	0.00248456
0	196	0.00206883
0	197	0.00178129
0	198	0.00158574
0	199	0.00145933
0	200	0.00138806
0	201	0.00136428
0	202	0.00138525
0	203	0.00145269
0	204	0.00157293
0	205	0.00175797
0	206	0.00202738
0	207	0.00241175
0	208	0.00295827
0	209	0.00374001
0	210	0.0048711
0	211	0.00653217
0	212	0.00901282
0	213	0.0127835
0	214	0.0186163
0	215	0.0277878
0	216	0.0424067
0	217	0.0659147
0	218	0.103739
0	219	0.163823
0	220	0.256044
0	221	0.388374
0	222	0.557539
0	223	0.737521
0	224	0.879809
0	225	0.935514
0	226	0.883353
0	227	0.740064
0	228	0.550536
0	229	0.365833
0	230	0.220388
0	231	0.123152
0	232	0.0655502
0	233	0.0340837
0	234	0.0176758
0	235	0.00928265
0	236	0.00498643
0	237	0.00275662
0	238	0.00157366
0	239	0.000929314
0	240	0.000568205
0	241	0.000359833
0	242	0.00023605
0	243	0.000160402
0	244	0.000112897
0	245	8.22932e-05
0	246	6.21134e-05
0	247	4.85362e-05
0	248	3.92572e-05
0	249	3.28589e-05
0	250	2.84556e-05
0	251	2.54894e-05
0	252	2.36115e-05
0	253	2.26126e-05
0	254	2.23834e-05
0	255	2.28948e-05
0	256	2.41917e-05
0	257	2.63995e-05
0	258	2.97442e-05
0	259	3.45915e-05
0	260	4.15118e-05
0	261	5.13909e-05
0	262	6.5613e-05
0	263	8.63688e-05
0	264	0.000117182
0	265	0.000163824
0	266	0.000235925
0	267	0.00034988
0	268	0.00053417
0	269	0.000839287
0	270	0.00135661
0	271	0.00225495
0	272	0.00385245
0	273	0.00676021
0	274	0.0121723
0	275	0.022453
0	276	0.0423101
0	277	0.0810316
0	278	0.156224
0	279	0.297883
0	280	0.54487
0	281	0.914486
0	282	1.34735
0	283	1.71614
0	284	1.93272
0	285	1.99558
0	286	1.93683
0	287	1.77621
0	288	1.51942
0	289	1.18196
0	290	0.81256
0	291	0.484609
0	292	0.251064
0	293	0.115156
0	294	0.0480046
0	295	0.0186383
0	296	0.0068698
0	297	0.00243678
0	298	0.000839652
0	299	0.000282871
0	300	9.35873e-05
0	301	3.05041e-05
0	302	9.81763e-06
0	303	3.12541e-06
0	304	9.85429e-07
0	305	3.08038e-07
0	306	9.55419e-08
0	307	2.94225e-08
0	308	9.00103e-09
0	309	2.73669e-09
0	310	8.27263e-10
0	311	2.48703e-10
0	312	7.43803e-11
0	313	2.21347e-11
0	314	6.55568e-12
0	315	1.93271e-12
0	316	5.67268e-13
0	317	1.65785e-13
0	318	4.82488e-14
0	319	1.39851e-14
0	320	4.03757e-15
0	321	1.16116e-15
0	322	3.32673e-16
0	323	9.49573e-17
0	324	2.70055e-17
0	325	7.65276e-18
0	326	2.16097e-18
0	327	6.08093e-19
0	328	1.7053e-19
0	329	4.76606e-20
0	330	1.3276e-20
0	331	3.68588e-21
0	332	1.01999e-21
0	333	2.81349e-22
0	334	7.73579e-23
0	335	2.12026e-23
0	336	5.79306e-24
0	337	1.57788e-24
0	338	4.28451e-25
0	339	1.15984e-25
0	340	3.1302e-26
0	341	8.4224e-27
0	342	2.25943e-27
0	343	6.04323e-28
0	344	1.61159e-28
0	345	4.28504e-29
0	346	1.1357e-29
0	347	2.98896e-30
0	348	7.37082e-31
0	349	0
1	0	0
1	1	-0.292265
1	2	11.5512
1	3	-0.353672
1	4	13.5194
1	5	-0.367396
1	6	30.5407
1	7	-0.595961
1	8	-0.608889
1	9	-0.607429
1	10	-0.605727
1	11	-0.604884
1	12	-0.604754
1	13	-0.605212
1	14	-0.606219
1	15	-0.607787
1	16	-0.608887
1	17	-0.595635
1	18	26.468
1	19	4.30095
1	20	-0.424819
1	21	7.59339
1	22	4.83112
1	23	-0.409721
1	24	9.68667
1	25	4.32103
1	26	-0.446818
1	27	6.72921
1	28	2.93505
1	29	2.36803
1	30	2.70474
1	31	2.90534
1	32	2.85325
1	33	2.77334
1	34	2.72365
1	35	2.68682
1	36	2.64859
1	37	2.609
1	38	2.57328
1	39	2.54585
1	40	2.52909
1	41	2.52393
1	42	2.53037
1	43	2.54781
1	44	2.5752
1	45	2.61112
1	46	2.6539
1	47	2.70173
1	48	2.75268
1	49	2.80473
1	50	2.85574
1	51	2.90346
1	52	2.94547
1	53	2.97916
1	54	3.00177
1	55	3.01049
1	56	3.00271
1	57	2.9763
